A F Station Yelahanka,13.131581,77.624029,59,3,55,8,58,3,98,284,871,67,59,39,4,4,4,42,4,4,4,4,45
Agram,10.964005,78.066392,72,6,165,5,76,10,126,460,6558,110,96,64,6,6,6,69,6,6,6,6,73
Air Force Hospital,15.262003,76.390119,56,0,55,0,118,4,38,271,4073,64,56,37,4,4,4,40,4,4,4,4,43
Amruthahalli,13.064871,77.599216,53,36,176,18,124,5,329,741,4016,177,155,103,11,11,11,111,11,11,11,11,118
Anandnagar,27.099498,83.270867,6,0,22,2,89,0,0,119,5656,28,24,16,2,2,2,17,2,2,2,2,18
Arabic College,9.268491,78.910118,1,0,0,0,3,0,0,4,4044,0,0,0,0,0,0,0,0,0,0,0,0
Attur,11.59655,78.603392,143,1,159,6,291,20,224,844,2549,202,177,118,12,12,12,126,12,12,12,12,134
Austin Town,12.959949,77.613559,2,0,0,0,2,0,1,5,5047,1,0,0,0,0,0,0,0,0,0,0,0
Banaswadi,13.008212,77.652836,5,0,25,4,6,0,18,58,3878,13,12,8,1,1,1,8,1,1,1,1,9
Bangalore Bazaar,12.974002,77.613458,45,0,24,4,114,2,51,240,6166,57,50,33,3,3,3,36,3,3,3,3,38
Bangalore International Airport,12.974002,77.613458,41,1,18,1,40,6,13,120,1291,28,25,16,2,2,2,18,2,2,2,2,19
Bangalore Sub Foreign Post,12.974002,77.613458,36,8,45,5,38,0,52,184,5526,43,38,25,3,3,3,27,3,3,3,3,29
Bellandur,12.926464,77.678116,8,0,19,3,56,0,29,115,3502,27,24,16,1,1,1,17,1,1,1,1,18
Benson Town,13.002461,77.603232,63,0,21,14,266,24,140,528,5549,126,110,73,8,8,8,79,8,8,8,8,84
Bhattarahalli,13.588589,76.46593,13,0,15,0,18,0,50,96,2529,22,19,13,1,1,1,14,1,1,1,1,15
Bidrahalli,16.360141,74.513939,24,3,23,2,126,12,31,221,2514,52,46,30,3,3,3,33,3,3,3,3,35
BSF Campus Yelahanka,13.099632,77.597532,40,0,54,0,95,21,236,446,4866,106,93,62,6,6,6,66,6,6,6,6,71
Byatarayanapura,13.0582,77.593763,0,0,1,1,8,0,0,10,1652,2,1,1,0,0,0,1,0,0,0,0,1
C.V.Raman Nagar,12.984577,77.661029,886,128,1253,85,1123,27,1583,5085,5586,1220,1067,711,73,73,73,762,73,73,73,73,813
CMM Court Complex,30.15387,76.20255,6,0,66,3,250,0,55,380,3165,91,79,53,5,5,5,57,5,5,5,5,60
CMP Centre And School,12.958637,77.61112,27,1,106,41,75,0,0,250,4826,60,52,34,3,3,3,37,3,3,3,3,40
CRPF Campus Yelahanka,13.099632,77.597532,44,18,78,18,196,21,228,603,1125,144,126,84,9,9,9,90,9,9,9,9,96
Devanagundi,12.974114,77.839179,29,2,16,1,120,56,207,431,1951,103,90,60,6,6,6,64,6,6,6,6,68
Devasandra,13.006112,77.695229,16,2,0,1,13,0,37,69,2253,16,14,9,1,1,1,10,1,1,1,1,10
Doddagubbi,13.071029,77.67168,51,0,19,8,95,0,14,187,2457,44,39,26,3,3,3,28,3,3,3,3,29
Doddanekkundi,12.963826,77.691294,9,0,15,10,88,14,126,262,976,62,54,36,4,4,4,39,4,4,4,4,41
Domlur,12.961185,77.637632,90,0,89,4,203,3,279,668,1534,160,139,93,10,10,10,100,10,10,10,10,106
Doorvaninagar,13.013414,76.133981,119,0,86,12,164,9,154,544,3951,130,114,76,8,8,8,81,8,8,8,8,86
Dr. Ambedkar Veedhi,12.976677,77.590123,4,0,24,3,12,0,3,46,4796,10,9,6,1,1,1,6,1,1,1,1,7
