Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
32,15,57,12,325,8,276,0,62,157,0,0,0,8,952
31,0,20,10,94,1,202,0,0,0,0,0,0,8,366
34,7,17,6,211,82,317,0,3,11,0,0,0,2,690
104,19,25,13,574,150,522,0,0,3,9,0,0,19,1438
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,27,42,13,298,338,483,0,49,0,0,0,0,8,1325
34,5,68,11,159,217,333,0,22,0,1,0,0,24,874
77,28,19,17,422,200,575,0,43,0,0,0,0,6,1387
40,7,34,19,479,557,400,0,53,130,0,0,0,0,1719
69,18,64,5,314,132,422,0,34,0,0,0,0,5,1063
67,11,44,10,276,12,427,0,38,1,2,0,0,18,906
29,2,16,1,120,56,207,0,4,0,0,0,0,0,435
47,5,28,6,119,21,214,0,16,0,0,0,0,4,460
20,3,16,7,40,22,106,0,6,0,0,0,0,8,228
53,2,26,11,196,123,181,0,24,0,0,0,0,25,641
2,0,0,1,7,8,0,0,4,0,0,0,0,0,22
39,0,23,3,107,43,128,0,0,0,0,0,0,0,343
87,2,126,7,257,9,383,0,0,0,0,0,0,31,902
34,0,11,5,191,91,282,0,3,1,0,0,0,7,625
160,55,48,17,427,130,663,0,23,0,0,0,0,31,1554
1027,206,684,174,4616,2200,6121,0,384,303,12,0,0,204,15931
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,7,0,5,0,4,0,0,0,0,0,0,0,21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0,1,0,7,0,0,0,0,0,0,0,0,0,12
1,0,3,0,5,0,1,0,0,0,0,0,0,0,10
2,0,3,0,0,0,0,0,0,0,0,0,0,0,5
6,0,21,0,12,0,4,0,0,0,0,0,0,0,43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,0,3,0,0,0,0,0,0,0,0,0,11
17,0,62,0,25,2,30,0,0,0,0,0,0,1,137
1,0,2,0,2,0,1,0,0,0,0,0,0,0,6
10,5,9,0,15,0,8,0,0,0,0,0,0,0,47
1,0,1,0,3,0,2,0,0,0,0,0,0,0,7
12,0,6,0,6,0,4,0,0,0,0,0,0,1,29
6,0,0,0,2,0,3,0,0,0,0,0,0,0,11
1,3,1,0,11,0,8,0,2,0,0,0,0,0,26
0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
2,0,6,0,2,0,0,0,0,0,0,0,0,0,10
1,3,0,0,1,0,0,0,0,0,0,0,0,0,5
71,12,128,0,101,2,66,0,2,0,0,0,0,2,384
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,176,373,22,461,20,1503,0,0,0,0,0,0,3,2682
46,12,128,4,96,4,78,0,0,5,0,0,0,1,374
37,0,131,14,15,0,175,0,0,0,0,0,0,0,372
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
59,9,234,8,70,0,597,0,0,4,0,0,0,5,986
18,0,44,3,27,4,106,0,0,0,0,0,0,0,202
77,13,198,10,502,0,432,0,0,4,0,0,0,1,1237
34,13,44,6,94,3,139,0,0,0,0,0,0,4,337
158,67,399,19,434,1,911,0,0,30,0,0,0,2,2021
29,0,184,3,84,0,380,0,0,0,0,0,0,0,680
0,0,4,0,4,0,0,0,0,0,0,0,0,0,8
