officename,pincode,regionname,,Taluk,Districtname,,longitude,latitude
A F Station Yelahanka S.O,560063,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Agram S.O,560007,Bangalore HQ,,Bangalore South,Bangalore,,NA,NA
Air Force Hospital S.O,560007,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Amruthahalli B.O,560092,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Anandnagar S.O (Bangalore),560024,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Arabic College S.O,560045,Bangalore HQ,,Bangalore North,Bangalore,,77.6206,13.0291
Attur B.O,560064,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Austin Town S.O,560047,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Banaswadi S.O,560043,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Bangalore Bazaar S.O,560001,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Bangalore International Airport S.O,560300,Bangalore HQ,,NA,Bangalore,,NA,NA
Bangalore Sub Foreign Post S.O,560025,Bangalore HQ,,NA,Bangalore,,NA,NA
Bellandur S.O,560103,Bangalore HQ,,Bangalore South,Bangalore,,77.676,12.9298
Benson Town S.O,560046,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Bhattarahalli S.O,560049,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Bidrahalli B.O,560049,Bangalore HQ,,Bangalore South,Bangalore,,NA,NA
BSF Campus Yelahanka S.O,560063,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Byatarayanapura B.O,560092,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
C.V.Raman Nagar S.O,560093,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
CMM Court Complex S.O,560001,Bangalore HQ,,Bangalore,Bangalore,,NA,NA
CMP Centre And School S.O,560025,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
CRPF Campus Yelahanka S.O,560064,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Devanagundi B.O,560067,Bangalore HQ,,Bangalore South,Bangalore,,NA,NA
Devasandra S.O,560036,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Doddagubbi B.O,560077,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Doddanekkundi B.O,560037,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Domlur S.O,560071,Bangalore HQ,,Bangalore North,Bangalore,,77.6359,12.9611
Doorvaninagar S.O,560016,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Dr. Ambedkar Veedhi S.O,560001,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Dr. Shivarama Karanth Nagar S.O,560077,Bangalore HQ,,Bangalore North,Bangalore,,77.6293,13.0681
EPIP S.O,560066,Bangalore HQ,,Bangalore,Bangalore,,NA,NA
Fraser Town S.O,560005,Bangalore HQ,,Bangalore North,Bangalore,,77.6164,13.0005
G.K.V.K. S.O,560065,Bangalore HQ,,Bangalore North,Bangalore,,77.5784,13.0781
Gunjur B.O,560087,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
H.A. Farm S.O,560024,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
H.A.L II Stage H.O,560008,Bangalore HQ,,Bangalore North,Bangalore,,77.6427,12.9686
H.K.P. Road S.O,560051,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Hebbal Kempapura S.O,560024,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
HighCourt S.O,560001,Bangalore HQ,,Bangalore North,Bangalore,,77.5915,12.9773
Hoodi B.O,560048,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Horamavu B.O,560043,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Hulsur Bazaar S.O,560008,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
Indiranagar S.O (Bangalore),560038,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
ISRO Anthariksha Bhavan S.O,560094,Bangalore HQ,,Bangalore North,Bangalore,,NA,NA
